[ 2025-03-20 17:37:30,680 ] 18 root - INFO - Initiate the data ingestion
[ 2025-03-20 17:37:32,376 ] 77 root - INFO - Performed train test split on the dataframe
[ 2025-03-20 17:37:32,376 ] 79 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-20 17:37:32,376 ] 87 root - INFO - Exporting train and test file path.
[ 2025-03-20 17:37:32,404 ] 96 root - INFO - Exported train and test file path.
[ 2025-03-20 17:37:32,404 ] 20 root - INFO - Data Initiation Completed
[ 2025-03-20 17:37:32,407 ] 25 root - INFO - Initiate the data Validation
[ 2025-03-20 17:37:32,418 ] 41 root - INFO - Required number of columns:2
[ 2025-03-20 17:37:32,418 ] 42 root - INFO - Data frame has columns:31
[ 2025-03-20 17:37:32,418 ] 41 root - INFO - Required number of columns:2
[ 2025-03-20 17:37:32,418 ] 42 root - INFO - Data frame has columns:31
[ 2025-03-20 17:37:32,510 ] 27 root - INFO - data Validation Completed
